date,season,home_team,away_team,home_score,away_score,home_moneyline,away_moneyline,home_odds,away_odds,home_win
2017-10-04,2017-18,WPG,TOR,2,7,-115.0,-105.0,1.87,1.952,0
2017-10-04,2017-18,PIT,STL,4,5,-180.0,160.0,1.556,2.6,0
2017-10-04,2017-18,EDM,CGY,3,0,-155.0,135.0,1.645,2.35,1
2017-10-04,2017-18,SJS,PHI,3,5,-150.0,130.0,1.667,2.3,0
2017-10-05,2017-18,ANA,ARI,5,4,-157.0,137.0,1.637,2.37,1
2017-10-05,2017-18,LAK,PHI,2,0,-153.0,133.0,1.654,2.33,1
2017-10-05,2017-18,DET,MIN,4,2,120.0,-140.0,2.2,1.714,1
2017-10-05,2017-18,CHI,PIT,10,1,-130.0,110.0,1.769,2.1,1
2017-10-05,2017-18,NYR,COL,2,4,-210.0,180.0,1.476,2.8,0
2017-10-05,2017-18,BOS,NSH,4,3,-116.0,-104.0,1.862,1.962,1
2017-10-05,2017-18,BUF,MTL,2,3,105.0,-125.0,2.05,1.8,0
2017-10-05,2017-18,OTT,WSH,4,5,120.0,-140.0,2.2,1.714,0
2017-10-06,2017-18,CBJ,NYI,5,0,-145.0,125.0,1.69,2.25,1
2017-10-06,2017-18,TBL,FLA,5,3,-185.0,165.0,1.541,2.65,1
2017-10-06,2017-18,DAL,VGK,1,2,-235.0,195.0,1.426,2.95,0
2017-10-07,2017-18,CHI,CBJ,5,1,-155.0,135.0,1.645,2.35,1
2017-10-07,2017-18,SJS,LAK,1,4,-142.0,122.0,1.704,2.22,0
2017-10-07,2017-18,VAN,EDM,3,2,141.0,-161.0,2.41,1.621,1
2017-10-07,2017-18,ANA,PHI,2,3,-128.0,108.0,1.781,2.08,0
2017-10-07,2017-18,CGY,WPG,6,3,-125.0,105.0,1.8,2.05,1
2017-10-07,2017-18,ARI,VGK,1,2,-180.0,160.0,1.556,2.6,0
2017-10-07,2017-18,STL,DAL,4,2,-146.0,126.0,1.685,2.26,1
2017-10-07,2017-18,NYI,BUF,6,3,-125.0,105.0,1.8,2.05,1
2017-10-07,2017-18,WSH,MTL,6,1,-142.0,122.0,1.704,2.22,1
2017-10-07,2017-18,TOR,NYR,8,5,-148.0,128.0,1.676,2.28,1
2017-10-07,2017-18,PIT,NSH,4,0,-155.0,135.0,1.645,2.35,1
2017-10-07,2017-18,NJD,COL,4,1,-128.0,108.0,1.781,2.08,1
2017-10-07,2017-18,FLA,TBL,5,4,-112.0,-108.0,1.893,1.926,1
2017-10-07,2017-18,OTT,DET,1,2,-138.0,118.0,1.725,2.18,0
2017-10-07,2017-18,CAR,MIN,5,4,-128.0,108.0,1.781,2.08,1
2017-10-08,2017-18,NYR,MTL,2,0,-125.0,105.0,1.8,2.05,1
2017-10-09,2017-18,BUF,NJD,2,6,-137.0,117.0,1.73,2.17,0
2017-10-09,2017-18,ANA,CGY,0,2,-124.0,104.0,1.806,2.04,0
2017-10-09,2017-18,EDM,WPG,2,5,-160.0,140.0,1.625,2.4,0
2017-10-09,2017-18,TBL,WSH,4,3,-119.0,-101.0,1.84,1.99,1
2017-10-09,2017-18,BOS,COL,0,4,-200.0,170.0,1.5,2.7,0
2017-10-09,2017-18,NYI,STL,2,3,-130.0,110.0,1.769,2.1,0
