date,season,home_team,away_team,home_score,away_score,home_moneyline,away_moneyline,home_odds,away_odds,home_win
2013-01-19,2012-13,VAN,ANA,3,7,-150.0,130.0,1.667,2.3,0
2013-01-19,2012-13,MIN,COL,4,2,-135.0,115.0,1.741,2.15,1
2013-01-19,2012-13,DAL,ARI,4,3,-120.0,100.0,1.833,2.0,1
2013-01-19,2012-13,NSH,CBJ,2,3,-170.0,150.0,1.588,2.5,0
2013-01-19,2012-13,STL,DET,6,0,-140.0,120.0,1.714,2.2,1
2013-01-19,2012-13,TBL,WSH,6,3,-115.0,-105.0,1.87,1.952,1
2013-01-19,2012-13,FLA,CAR,5,1,-120.0,100.0,1.833,2.0,1
2013-01-19,2012-13,MTL,TOR,1,2,-140.0,120.0,1.714,2.2,0
2013-01-19,2012-13,BOS,NYR,3,1,-140.0,120.0,1.714,2.2,1
2013-01-19,2012-13,LAK,CHI,2,5,-125.0,105.0,1.8,2.05,0
2013-01-19,2012-13,WPG,OTT,1,4,-125.0,105.0,1.8,2.05,0
2013-01-19,2012-13,PHI,PIT,1,3,-110.0,-110.0,1.909,1.909,0
2013-01-19,2012-13,NYI,NJD,1,2,100.0,-120.0,2.0,1.833,0
2013-01-20,2012-13,BUF,PHI,5,2,-135.0,115.0,1.741,2.15,1
2013-01-20,2012-13,NYR,PIT,3,6,-110.0,-110.0,1.909,1.909,0
2013-01-20,2012-13,CGY,SJS,1,4,105.0,-125.0,2.05,1.8,0
2013-01-20,2012-13,MIN,DAL,1,0,-155.0,135.0,1.645,2.35,1
2013-01-20,2012-13,VAN,EDM,2,3,-140.0,120.0,1.714,2.2,0
2013-01-20,2012-13,ARI,CHI,4,6,-110.0,-110.0,1.909,1.909,0
2013-01-21,2012-13,CBJ,DET,3,4,110.0,-130.0,2.1,1.769,0
2013-01-21,2012-13,CGY,ANA,4,5,100.0,-120.0,2.0,1.833,0
2013-01-21,2012-13,OTT,FLA,4,0,-140.0,120.0,1.714,2.2,1
2013-01-21,2012-13,BOS,WPG,2,1,-200.0,170.0,1.5,2.7,1
2013-01-21,2012-13,NSH,STL,3,4,105.0,-125.0,2.05,1.8,0
2013-01-21,2012-13,NYI,TBL,4,3,100.0,-120.0,2.0,1.833,1
2013-01-21,2012-13,TOR,BUF,1,2,-120.0,100.0,1.833,2.0,0
2013-01-22,2012-13,EDM,SJS,3,6,105.0,-125.0,2.05,1.8,0
