date,season,away_team,home_team,away_score,home_score,away_moneyline,home_moneyline,away_odds,home_odds,home_win
2022-10-11,2022-23,TBL,NYR,1,3,117,-127,2.17,1.787,1
2022-10-11,2022-23,VGK,LAK,4,3,101,-111,2.01,1.901,0
2022-10-12,2022-23,CBJ,CAR,1,4,240,-270,3.4,1.37,1
2022-10-12,2022-23,BOS,WSH,5,2,130,-140,2.3,1.714,0
2022-10-12,2022-23,TOR,MTL,3,4,-240,210,1.417,3.1,1
2022-10-12,2022-23,CHI,COL,2,5,330,-400,4.3,1.25,1
2022-10-12,2022-23,VAN,EDM,3,5,165,-185,2.65,1.541,1
2022-10-12,2022-23,SeattleKraken,ANA,4,5,100,-110,2.0,1.909,1
2022-10-13,2022-23,OTT,BUF,1,4,-121,111,1.826,2.11,1
2022-10-13,2022-23,ARI,PIT,2,6,320,-380,4.2,1.263,1
2022-10-13,2022-23,NJD,PHI,2,5,-123,113,1.813,2.13,1
2022-10-13,2022-23,FLA,NYI,3,1,-140,130,1.714,2.3,0
2022-10-13,2022-23,WSH,TOR,2,3,185,-205,2.85,1.488,1
2022-10-13,2022-23,NYR,MIN,7,3,112,-122,2.12,1.82,0
2022-10-13,2022-23,DAL,NSH,4,1,120,-130,2.2,1.769,0
2022-10-13,2022-23,COL,CGY,3,5,126,-136,2.26,1.735,1
2022-10-13,2022-23,CHI,VGK,0,1,300,-350,4.0,1.286,1
2022-10-13,2022-23,SeattleKraken,LAK,4,1,155,-170,2.55,1.588,0
2022-10-14,2022-23,TBL,CBJ,5,2,-205,185,1.488,2.85,0
2022-10-14,2022-23,MTL,DET,0,3,140,-155,2.4,1.645,1
2022-10-14,2022-23,NYR,WPG,1,4,131,-142,2.31,1.704,1
2022-10-14,2022-23,CAR,SJS,2,1,-188,168,1.532,2.68,0
2022-10-15,2022-23,FLA,BUF,4,3,-185,165,1.541,2.65,0
2022-10-15,2022-23,VAN,PHI,2,3,-165,150,1.606,2.5,1
2022-10-15,2022-23,OTT,TOR,2,3,210,-240,3.1,1.417,1
2022-10-15,2022-23,ARI,BOS,3,6,285,-330,3.85,1.303,1
2022-10-15,2022-23,TBL,PIT,2,6,155,-170,2.55,1.588,1
2022-10-15,2022-23,DET,NJD,5,2,155,-170,2.55,1.588,0
2022-10-15,2022-23,MTL,WSH,1,3,250,-290,3.5,1.345,1
2022-10-15,2022-23,ANA,NYI,1,7,149,-164,2.49,1.61,1
2022-10-15,2022-23,LAK,MIN,7,6,155,-170,2.55,1.588,0
2022-10-15,2022-23,NSH,DAL,1,5,110,-120,2.1,1.833,1
2022-10-15,2022-23,CBJ,STL,2,5,220,-250,3.2,1.4,1
2022-10-15,2022-23,VGK,SeattleKraken,5,2,-127,117,1.787,2.17,0
2022-10-15,2022-23,CGY,EDM,4,3,121,-131,2.21,1.763,0
2022-10-15,2022-23,CHI,SJS,5,2,125,-135,2.25,1.741,0
2022-10-17,2022-23,VAN,WSH,4,6,120,-130,2.2,1.769,1
2022-10-17,2022-23,PIT,MTL,2,3,-245,215,1.408,3.15,1
2022-10-17,2022-23,FLA,BOS,3,5,-132,122,1.758,2.22,1
2022-10-17,2022-23,ANA,NYR,4,6,210,-240,3.1,1.417,1
2022-10-17,2022-23,ARI,TOR,4,2,425,-550,5.25,1.182,0
2022-10-17,2022-23,LAK,DET,5,4,-135,125,1.741,2.25,0
2022-10-17,2022-23,COL,MIN,6,3,-115,105,1.87,2.05,0
2022-10-17,2022-23,WPG,DAL,1,4,130,-140,2.3,1.714,1
2022-10-17,2022-23,CAR,SeattleKraken,5,1,-165,150,1.606,2.5,0
2022-10-18,2022-23,VAN,CBJ,3,4,-105,-105,1.952,1.952,1
2022-10-18,2022-23,BOS,OTT,5,7,120,-130,2.2,1.769,1
2022-10-18,2022-23,ANA,NJD,2,4,160,-180,2.6,1.556,1
2022-10-18,2022-23,PHI,TBL,3,2,250,-290,3.5,1.345,0
2022-10-18,2022-23,SJS,NYI,2,5,170,-190,2.7,1.526,1
2022-10-18,2022-23,VGK,CGY,2,3,145,-160,2.45,1.625,1
2022-10-18,2022-23,BUF,EDM,4,2,190,-210,2.9,1.476,0
2022-10-18,2022-23,LAK,NSH,4,3,155,-170,2.55,1.588,0
2022-10-19,2022-23,PHI,FLA,3,4,300,-350,4.0,1.286,1
2022-10-19,2022-23,WPG,COL,4,3,210,-240,3.1,1.417,0
2022-10-19,2022-23,STL,SeattleKraken,4,3,-124,114,1.806,2.14,0
2022-10-20,2022-23,DAL,TOR,2,3,160,-180,2.6,1.556,1
2022-10-20,2022-23,WSH,OTT,2,5,100,-110,2.0,1.909,1
2022-10-20,2022-23,NSH,CBJ,3,5,-124,114,1.806,2.14,1
2022-10-20,2022-23,ARI,MTL,2,6,150,-165,2.5,1.606,1
2022-10-20,2022-23,ANA,BOS,1,2,175,-195,2.75,1.513,1
2022-10-20,2022-23,SJS,NYR,3,2,240,-270,3.4,1.37,0
2022-10-20,2022-23,LAK,PIT,1,6,165,-185,2.65,1.541,1
2022-10-20,2022-23,NJD,NYI,4,1,132,-145,2.32,1.69,0
2022-10-20,2022-23,VAN,MIN,3,4,155,-170,2.55,1.588,1
2022-10-20,2022-23,CAR,EDM,4,6,100,-110,2.0,1.909,1
2022-10-20,2022-23,BUF,CGY,6,3,245,-280,3.45,1.357,0
2022-10-20,2022-23,WPG,VGK,2,5,200,-220,3.0,1.455,1
2022-10-21,2022-23,TBL,FLA,3,2,-102,-108,1.98,1.926,0
2022-10-21,2022-23,DET,CHI,3,4,-115,105,1.87,2.05,1
