feature,importance
home_any_critical,0.07539575720699719
away_any_critical,0.0711609900011926
away_overall_win_streak,0.064190680473659
home_overall_win_streak,0.06363828531204122
max_streak_len,0.04406335494970487
critical_synergy_home,0.03843843214726386
streak_diff,0.03563623928883017
any_strong_signal,0.02484802214466308
critical_synergy_away,0.024540972461421128
home_total_critical,0.024003581690089617
away_total_critical_patterns,0.02255487926277867
home_total_critical_patterns,0.01861466295025408
away_total_critical,0.018373709478949847
away_max_streak_len,0.018032376769074966
max_alternation_combo,0.01725418308472175
home_max_streak_len,0.01625508561332895
critical_pattern_exists,0.015231277936519688
away_home_win_streak,0.014831913472594488
max_alternation_len,0.014396377990067854
home_away_win_streak,0.01366956536814103
home_home_win_streak,0.01308774996849244
away_away_win_streak,0.012299481021136762
away_strong_signal,0.012078702141679196
home_overall_last_10_wins,0.009344568928405482
home_h2h_games_count,0.008966578026055083
away_overall_last_10_wins,0.008959446978301804
away_h2h_games_count,0.00879948868314989
home_overall_alternation_len,0.008791830038054201
home_overall_alt_critical,0.00853839034345237
home_h2h_win_streak,0.00851883102610171
away_max_alternation_len,0.00842582281792469
away_home_last_5_wins,0.008273149793627057
away_overall_alternation_len,0.008174206893388122
away_h2h_win_streak,0.008094661833915296
away_alternation_combo,0.008040405212642517
home_away_streak_critical,0.007997647692410442
away_home_alternation_len,0.007600753522426483
home_away_last_5_wins,0.007514504073190261
away_away_last_5_wins,0.00734139714532286
home_strong_signal,0.007116353291256203
home_home_last_5_wins,0.007089888380057786
home_max_alternation_len,0.006985693640373095
h2h_advantage,0.006776048823210343
max_overgrowth,0.0067303913575928265
home_away_alternation_len,0.0066138147153968095
synergy_away,0.006064946576676889
synergy_home,0.006052117115451518
home_h2h_last_5_wins,0.005980672421816971
away_home_streak_critical,0.005914670740184775
home_streak_overgrowth,0.005868227014228208
home_away_alt_critical,0.00581922238017503
home_alternation_combo,0.005681765000317879
away_h2h_last_5_wins,0.005576153825358274
away_overall_expected_alt,0.005311540468096247
away_overall_alt_critical,0.005097092010486521
away_home_alt_critical,0.004908204842075462
home_away_expected_alt,0.0048242692980927085
away_away_alternation_len,0.004766724009458118
away_streak_overgrowth,0.004278341036348432
pattern_agreement,0.004033926313723077
away_overall_last_result,0.003894872636896266
away_home_expected_alt,0.003712994973687913
away_away_last_result,0.003454531640811846
home_overall_last_result,0.0034223385522053774
home_home_alternation_len,0.003419157915356092
away_away_expected_alt,0.00331723474266212
home_overall_streak_critical,0.003233881851906142
home_overall_expected_alt,0.0031764890440520114
away_home_last_result,0.002982903863990186
home_away_last_result,0.0029528945817865913
home_home_streak_critical,0.00292374793301846
away_away_streak_critical,0.002903363645336219
home_h2h_expected_alt,0.0028002044432160512
home_home_last_result,0.0027908688343172205
away_h2h_alt_critical,0.0025822604465731407
home_h2h_last_result,0.002581468944354679
home_home_expected_alt,0.002524488843298184
home_home_alt_critical,0.002466643148487649
home_h2h_alternation_len,0.0024648673302206563
away_h2h_alternation_len,0.002250041122256353
away_h2h_last_result,0.002187087774100936
away_away_alt_critical,0.0021509897535852544
away_overall_streak_critical,0.0020206298757577505
away_h2h_expected_alt,0.0017964674188077753
aligned_patterns_away,0.0013698001315673846
total_aligned,0.0009171527478661494
aligned_patterns_home,0.0008191416235897344
away_h2h_streak_critical,0.0006179556533994397
home_h2h_streak_critical,0.0005372025450044088
home_h2h_alt_critical,0.0002602909795401292
