feature,importance
away_predicted_break,0.06218469655869011
away_weighted_break_prob,0.0600824199735737
home_predicted_break,0.054518929202156154
home_weighted_break_prob,0.05310928584310861
home_any_critical,0.04858537032459945
critical_synergy_away,0.04637827712160301
away_any_critical,0.04479277406796847
critical_synergy_home,0.027108086050899417
away_away_streak_critical,0.02060119618586258
away_total_critical_patterns,0.019997001315675788
away_away_win_streak,0.019345952651781233
away_independent_patterns,0.019067496859827643
home_home_win_streak,0.017185563480484965
away_total_critical,0.01590210423234831
streak_diff,0.013999111628379676
home_total_critical,0.013318227770144263
away_h2h_win_streak,0.013079650152059927
home_total_critical_patterns,0.012998632491468992
away_overall_last_10_wins,0.011077960274094665
home_h2h_win_streak,0.01097284505513024
home_away_win_streak,0.010626137743549226
away_home_win_streak,0.00990619832972364
away_overall_win_streak,0.009891198333600392
home_overall_win_streak,0.009685098900860249
away_away_last_5_wins,0.0095644619857369
away_max_streak_len,0.009557133400405973
home_home_streak_critical,0.009372087810803547
home_h2h_games_count,0.009300286832914279
away_h2h_games_count,0.009247149112125663
max_alternation_len,0.00876679392232017
home_overall_last_10_wins,0.008664270985402161
home_max_streak_len,0.008647163347909848
h2h_advantage,0.008591887367358511
away_league_home_streak,0.008418797829523381
away_h2h_away_win_streak,0.00839421885709753
any_strong_signal,0.008344618878627839
home_home_last_5_wins,0.008050375740465155
home_h2h_home_win_streak,0.0078386195039235
away_h2h_last_5_wins,0.007556119779129745
home_league_home_wins_last_20,0.007468776929756459
home_league_home_streak,0.0072393318695928984
home_strong_signal,0.007213716915235667
away_league_home_rate,0.007014427444992466
away_h2h_home_win_streak,0.0068398953141761195
home_league_home_rate,0.006828230976312284
away_league_home_wins_last_20,0.006804623714158416
home_away_streak_critical,0.006748135104824828
max_streak_len,0.006701165959819248
home_max_alternation_len,0.006688053441990714
home_h2h_away_win_streak,0.006609560495845487
aligned_patterns_away,0.0066087561689535
home_h2h_last_5_wins,0.006305114053712211
total_aligned,0.0062649788919584715
away_home_streak_critical,0.006122262183221682
away_strong_signal,0.00605693485308121
home_away_last_5_wins,0.005970119015300432
home_streak_overgrowth,0.005969474155669536
home_independent_patterns,0.005814732244172152
synergy_away,0.005812459320213036
away_home_last_5_wins,0.005767083030824416
max_alternation_combo,0.005491778882553422
max_overgrowth,0.005151329010578433
synergy_home,0.004975392884642442
home_alternation_combo,0.004201111026942458
away_max_alternation_len,0.003872273642234159
away_away_last_result,0.0037532967467646117
away_overall_alternation_len,0.0036992672676532056
away_h2h_streak_critical,0.0036350633391122496
home_overall_streak_critical,0.003491912154517805
home_home_alternation_len,0.003340898790440836
home_overall_alternation_len,0.0031545716130678674
away_streak_overgrowth,0.00293973084464698
home_away_alternation_len,0.00281507305357071
home_h2h_streak_critical,0.0026705458670110292
home_home_last_result,0.002642462828517564
away_alternation_combo,0.002626345063501474
home_h2h_last_result,0.0024112490632098634
away_away_alternation_len,0.0023428280654615853
pattern_agreement,0.0023273440050270025
away_overall_last_result,0.002188392528162583
away_home_alternation_len,0.002180354071270235
home_overall_last_result,0.0021330816847978996
away_home_last_result,0.002082406559021519
away_h2h_last_result,0.001984665970680105
home_away_expected_alt,0.0018647731842394598
away_overall_alt_critical,0.0018102170389400353
home_away_last_result,0.0017900112010543576
home_h2h_expected_alt,0.0016431308089756354
home_overall_expected_alt,0.0016060677250338603
home_home_expected_alt,0.00158473632239196
home_h2h_away_streak_critical,0.0015457676349049587
away_away_expected_alt,0.0015421358977991974
home_overall_alt_critical,0.0015238345220656001
away_h2h_expected_alt,0.001520801380244384
aligned_patterns_home,0.001498594722940022
away_overall_expected_alt,0.0014418999578236806
home_home_alt_critical,0.001342345565128399
home_h2h_home_streak_critical,0.0013334907401375985
away_home_expected_alt,0.0012760389061176392
home_h2h_alternation_len,0.0010863052187977853
away_h2h_away_streak_critical,0.001054943163528386
home_away_alt_critical,0.0009902597887939434
away_overall_streak_critical,0.0009894504201718574
away_home_alt_critical,0.0009718557609414673
away_league_home_streak_critical,0.0009348138538261584
away_away_alt_critical,0.0007672721708038181
away_h2h_home_streak_critical,0.0007467991036993743
home_league_home_streak_critical,0.0006578050700790645
away_h2h_alternation_len,0.0005464050834675567
home_h2h_alt_critical,0.00016425201213186147
away_h2h_alt_critical,7.858579742980676e-05
critical_pattern_exists,0.0
