feature,importance
home_overall_win_streak,0.16182607588443307
home_any_critical,0.13990145952594985
critical_synergy_home,0.06976396203642764
home_max_streak_len,0.06841097396859672
home_total_critical,0.0651608504726738
home_total_critical_patterns,0.050697263460441684
home_max_alternation_len,0.029932891060385346
critical_pattern_exists,0.023759819390280573
home_away_win_streak,0.023685095796210885
streak_diff,0.022196138165946667
max_streak_len,0.020487822441885725
home_overall_alternation_len,0.01627114415763281
home_home_win_streak,0.0150317631413036
home_overall_alt_critical,0.014864884798771317
synergy_home,0.010135739713091887
away_h2h_alternation_len,0.01003032003893133
home_home_alt_critical,0.009844429568195819
away_h2h_alt_critical,0.00974520983126225
max_alternation_len,0.009053301538425946
home_home_alternation_len,0.008454808711533335
home_away_last_5_wins,0.008005203266418568
home_away_last_result,0.007969951459864595
away_overall_win_streak,0.007694780566900803
home_h2h_win_streak,0.007672517003208371
home_away_alternation_len,0.0074246842207855036
away_away_win_streak,0.007070403438966627
home_overall_last_10_wins,0.006966908620697179
home_away_streak_critical,0.006932501349598322
away_max_streak_len,0.006803521268354398
home_h2h_alternation_len,0.006755882639206908
home_home_streak_critical,0.006452572419568696
home_overall_expected_alt,0.006417722148515281
away_home_win_streak,0.006243948192253648
away_h2h_win_streak,0.006219659008648797
home_home_last_5_wins,0.006182748130513068
home_h2h_games_count,0.005756700765249483
home_overall_last_result,0.0055839219602628505
away_overall_last_10_wins,0.005556891276864326
home_home_last_result,0.005208039058944534
home_overall_streak_critical,0.00519924787508622
home_away_alt_critical,0.005107502257085883
away_h2h_games_count,0.004942332246692935
home_h2h_streak_critical,0.004653443459172365
away_h2h_last_5_wins,0.004643773945610676
h2h_advantage,0.004289750402234415
home_h2h_alt_critical,0.00380812130430343
away_home_last_5_wins,0.003750010622251922
away_away_last_5_wins,0.003706211699541105
away_total_critical_patterns,0.00357777175095146
away_max_alternation_len,0.0035369053626285642
synergy_away,0.0032845391595618355
home_h2h_expected_alt,0.002923475175285967
home_h2h_last_5_wins,0.0028749273686134685
home_away_expected_alt,0.002591966179669392
pattern_agreement,0.002449646072768044
away_total_critical,0.002241331700370097
away_h2h_expected_alt,0.002162054634845676
away_h2h_streak_critical,0.0019784142689039984
away_overall_last_result,0.0019252734626556234
away_any_critical,0.0019246810475317371
away_home_alternation_len,0.0017857387039053648
away_home_expected_alt,0.0017019970792004036
away_away_alternation_len,0.0016349210669559205
home_home_expected_alt,0.0015968276042721897
away_overall_alternation_len,0.0015861139111023898
away_overall_expected_alt,0.001338453727376768
away_home_last_result,0.0011527362921697096
away_away_last_result,0.0011303952525942868
total_aligned,0.001117821066954079
away_h2h_last_result,0.0011136743530602484
critical_synergy_away,0.0010918334134856651
home_h2h_last_result,0.0010195998030414482
aligned_patterns_away,0.0009481946608943148
away_away_expected_alt,0.0009370972391916707
away_away_streak_critical,0.0008335364320973386
away_overall_streak_critical,0.0006717637531216166
away_home_alt_critical,0.0005810310331953379
away_home_streak_critical,0.0005805616494079574
away_overall_alt_critical,0.0005742852080788931
aligned_patterns_home,0.00045421804708178204
away_away_alt_critical,0.000405309209845543
